	0	1	2
0	1.30141e-07	1.20944e-07	1.12437e-07
1	1.04464e-07	9.9061e-08	9.4464e-08
2	9.3667e-08	9.2537e-08	9.3409e-08
3	9.4883e-08	9.670599999999999e-08	9.5533e-08
4	9.4501e-08	9.2366e-08	8.9292e-08
5	8.5533e-08	8.1756e-08	7.9091e-08
6	7.6191e-08	7.4499e-08	7.3373e-08
7	7.3297e-08	7.2691e-08	7.2624e-08
8	7.2844e-08	7.3166e-08	7.336e-08
9	7.3563e-08	7.4229e-08	7.3737e-08
10	7.3757e-08	7.4799e-08	7.5317e-08
11	7.476299999999999e-08	7.5775e-08	7.5566e-08
12	7.6495e-08	7.7678e-08	7.7229e-08
13	7.6854e-08	7.729e-08	7.6646e-08
14	7.6644e-08	7.5502e-08	7.4956e-08
15	7.4664e-08	7.4877e-08	7.4761e-08
16	7.4952e-08	7.4061e-08	7.4906e-08
17	7.5039e-08	7.5042e-08	7.4548e-08
18	7.3171e-08	7.2189e-08	7.1478e-08
19	7.1333e-08	7.1318e-08	7.143699999999999e-08
20	7.165e-08	7.2873e-08	7.435e-08
21	7.6394e-08	7.6886e-08	7.7766e-08
22	7.9388e-08	7.8716e-08	7.882e-08
23	7.8133e-08	7.7118e-08	7.5235e-08
24	7.4433e-08	7.3042e-08	7.2873e-08
25	7.2409e-08	7.1671e-08	7.2468e-08
26	7.2951e-08	7.4302e-08	7.5231e-08
27	7.6881e-08	7.7388e-08	7.6856e-08
28	7.6975e-08	7.6739e-08	7.489e-08
29	7.349e-08	7.2816e-08	7.19e-08
30	7.2309e-08	7.1855e-08	7.1984e-08
31	7.2591e-08	7.3982e-08	7.5316e-08
32	7.711e-08	7.791499999999999e-08	7.9769e-08
33	8.0796e-08	8.0049e-08	7.9262e-08
34	7.773999999999999e-08	7.6278e-08	7.5695e-08
35	7.3604e-08	7.3321e-08	7.2911e-08
36	7.242899999999999e-08	7.2401e-08	7.2381e-08
37	7.1944e-08	7.166999999999999e-08	7.2093e-08
38	7.2117e-08	7.2478e-08	7.3181e-08
39	7.448e-08	7.5484e-08	7.5859e-08
40	7.6518e-08	7.7368e-08	7.785599999999999e-08
41	7.8067e-08	7.7289e-08	7.6855e-08
42	7.5622e-08	7.487999999999999e-08	7.4799e-08
43	7.4384e-08	7.3219e-08	7.3615e-08
44	7.2784e-08	7.4463e-08	7.4323e-08
45	7.403899999999999e-08	7.542899999999999e-08	7.5971e-08
46	7.7323e-08	7.7247e-08	7.6836e-08
47	7.6015e-08	7.5927e-08	7.389899999999999e-08
48	7.287199999999999e-08	7.254599999999999e-08	7.0635e-08
49	7.1463e-08	7.192699999999999e-08	7.1832e-08
50	7.2821e-08	7.5233e-08	7.6917e-08
51	7.825299999999999e-08	7.9924e-08	8.128e-08
52	8.1188e-08	8.0664e-08	7.9253e-08
53	7.747099999999999e-08	7.5694e-08	7.4504e-08
54	7.3399e-08	7.2202e-08	7.1691e-08
55	7.2014e-08	7.253399999999999e-08	7.2701e-08
56	7.3294e-08	7.3025e-08	7.3262e-08
57	7.3315e-08	7.3664e-08	7.4309e-08
58	7.4031e-08	7.454099999999999e-08	7.5904e-08
59	7.5944e-08	7.5995e-08	7.5943e-08
60	7.670099999999999e-08	7.6061e-08	7.5827e-08
61	7.5617e-08	7.5315e-08	7.5198e-08
62	7.4949e-08	7.4339e-08	7.3938e-08
63	7.4106e-08	7.3991e-08	7.4241e-08
64	7.4912e-08	7.506699999999999e-08	7.5751e-08
65	7.6004e-08	7.6297e-08	7.5318e-08
66	7.5622e-08	7.423e-08	7.3599e-08
67	7.266e-08	7.2345e-08	7.0921e-08
68	7.1725e-08	7.1936e-08	7.1697e-08
69	7.314099999999999e-08	7.4454e-08	7.6431e-08
70	7.7723e-08	7.9101e-08	7.9586e-08
71	7.954799999999999e-08	8.0102e-08	7.8529e-08
72	7.617599999999999e-08	7.4738e-08	7.414499999999999e-08
73	7.3355e-08	7.221799999999999e-08	7.197299999999999e-08
74	7.133199999999999e-08	7.1824e-08	7.2995e-08
75	7.3289e-08	7.2677e-08	7.2911e-08
76	7.3015e-08	7.353799999999999e-08	7.3266e-08
77	7.3173e-08	7.3127e-08	7.3693e-08
78	7.3529e-08	7.4864e-08	7.4952e-08
79	7.5248e-08	7.5157e-08	7.605e-08
80	7.616e-08	7.6034e-08	7.5309e-08
81	7.5307e-08	7.4698e-08	7.415599999999999e-08
82	7.4024e-08	7.4164e-08	7.417899999999999e-08
83	7.385299999999999e-08	7.421399999999999e-08	7.451799999999999e-08
84	7.5006e-08	7.5696e-08	7.5297e-08
85	7.4774e-08	7.4917e-08	7.3944e-08
86	7.4392e-08	7.3752e-08	7.233e-08
87	7.2263e-08	7.2133e-08	7.1936e-08
88	7.2292e-08	7.3347e-08	7.4586e-08
89	7.5542e-08	7.7912e-08	7.8239e-08
90	7.9097e-08	7.8777e-08	7.826399999999999e-08
91	7.6985e-08	7.6253e-08	7.4746e-08
92	7.3861e-08	7.3478e-08	7.282e-08
93	7.2161e-08	7.2443e-08	7.2602e-08
94	7.3287e-08	7.2656e-08	7.2419e-08
95	7.1929e-08	7.2608e-08	7.1847e-08
96	7.2038e-08	7.275e-08	7.308e-08
97	7.4e-08	7.4844e-08	7.4967e-08
98	7.5321e-08	7.6382e-08	7.6698e-08
99	7.6628e-08	7.5659e-08	7.5764e-08
100	7.5855e-08	7.4974e-08	7.4503e-08
101	7.3691e-08	7.2588e-08	7.2548e-08
102	7.2927e-08	7.3105e-08	7.3177e-08
103	7.3824e-08	7.4429e-08	7.5512e-08
104	7.6006e-08	7.5857e-08	7.5259e-08
105	7.4918e-08	7.3548e-08	7.3095e-08
106	7.1785e-08	7.1394e-08	7.0568e-08
107	7.1232e-08	7.2168e-08	7.2659e-08
108	7.3847e-08	7.5634e-08	7.6754e-08
109	7.842799999999999e-08	7.9311e-08	7.9743e-08
110	7.8982e-08	7.7675e-08	7.6239e-08
111	7.5068e-08	7.4119e-08	7.316399999999999e-08
112	7.2161e-08	7.2247e-08	7.207899999999999e-08
113	7.225399999999999e-08	7.2683e-08	7.1766e-08
114	7.1428e-08	7.2355e-08	7.242899999999999e-08
115	7.2188e-08	7.3064e-08	7.2516e-08
116	7.3429e-08	7.5445e-08	7.5068e-08
117	7.644e-08	7.6306e-08	7.6147e-08
118	7.7723e-08	7.6893e-08	7.6239e-08
119	7.5933e-08	7.4657e-08	7.4306e-08
120	7.3612e-08	7.2827e-08	7.3535e-08
121	7.3394e-08	7.4671e-08	7.4325e-08
122	7.5045e-08	7.4634e-08	7.592e-08
123	7.6026e-08	7.6051e-08	7.5734e-08
124	7.4785e-08	7.42e-08	7.2536e-08
125	7.1566e-08	7.093e-08	7.1515e-08
126	7.1108e-08	7.129599999999999e-08	7.2092e-08
127	7.343199999999999e-08	7.5705e-08	7.695e-08
128	7.8518e-08	7.925e-08	8.0395e-08
129	8.083199999999999e-08	7.9211e-08	7.797299999999999e-08
130	7.6157e-08	7.449e-08	7.3175e-08
131	7.182199999999999e-08	7.1668e-08	7.1504e-08
132	7.0836e-08	7.1341e-08	7.2677e-08
133	7.2645e-08	7.2375e-08	7.247e-08
134	7.2812e-08	7.3451e-08	7.2893e-08
135	7.3658e-08	7.4624e-08	7.4934e-08
136	7.482e-08	7.5398e-08	7.5951e-08
137	7.6527e-08	7.653699999999999e-08	7.5998e-08
138	7.4983e-08	7.513e-08	7.4841e-08
139	7.3396e-08	7.3688e-08	7.3367e-08
140	7.3463e-08	7.3198e-08	7.4288e-08
141	7.3804e-08	7.4073e-08	7.5914e-08
142	7.5576e-08	7.631e-08	7.6048e-08
