	0	1	2
0	(-1.5136077777777777e-07+0j)	(-1.5119194444444446e-07+0j)	(-1.5078481944444442e-07+0j)
1	(-2.1296149243050574e-09+5.178232985325494e-10j)	(-1.8387537879523862e-09+4.5334837377191807e-10j)	(-1.6177035898987828e-09+4.768685706258962e-10j)
2	(-2.045263879932648e-09+2.647952511227016e-10j)	(-1.7848140250639208e-09+2.2014155697383578e-10j)	(-1.5505867104973127e-09+1.3523015615706657e-10j)
3	(-1.9989652809948127e-09+5.242579563776846e-10j)	(-1.8302528100688215e-09+4.28059525865059e-10j)	(-1.54720372940029e-09+3.0909114327715887e-10j)
4	(-1.878951115902582e-09+5.970076639505718e-10j)	(-1.6357619313099001e-09+6.493979431366468e-10j)	(-1.4248407186670116e-09+4.77709238295871e-10j)
5	(-1.9618869393183264e-09+7.716082365095356e-10j)	(-1.7202452105652773e-09+6.407336560756711e-10j)	(-1.4286209937039068e-09+5.499429284469462e-10j)
6	(-1.7926113994123882e-09+8.748149579341672e-10j)	(-1.568160782537452e-09+6.796343180406789e-10j)	(-1.3278074966810795e-09+6.685362124135539e-10j)
7	(-1.7046808914405675e-09+1.0532424797680384e-09j)	(-1.3439137983796594e-09+9.978412499088758e-10j)	(-1.26752357304303e-09+7.427726947949375e-10j)
8	(-1.6307624614109016e-09+7.208041371763625e-10j)	(-1.378017703071055e-09+5.464154335509703e-10j)	(-1.2926501733840559e-09+4.871153694463519e-10j)
9	(-1.4297046581143742e-09+1.0018108133683836e-09j)	(-1.300027291579592e-09+8.250107901772172e-10j)	(-1.0671540846659926e-09+6.766575554462846e-10j)
10	(-1.361946861083089e-09+9.632309638932541e-10j)	(-1.1995454016950985e-09+7.702754885128384e-10j)	(-1.0340169544911053e-09+6.740169530819789e-10j)
11	(-1.264521603643312e-09+9.8204346805175e-10j)	(-1.0831868060405523e-09+8.441795500033181e-10j)	(-8.979850849771869e-10+7.289865853402637e-10j)
12	(-1.1419081365022317e-09+9.57901233499203e-10j)	(-1.0343928784220603e-09+8.49207873246906e-10j)	(-8.73901112937859e-10+7.233801708360362e-10j)
13	(-1.0000817729656892e-09+8.869187864198532e-10j)	(-8.51183790401892e-10+8.727632769983855e-10j)	(-7.642722916427643e-10+6.99549407052197e-10j)
14	(-8.359106888223589e-10+9.172131449626239e-10j)	(-7.52197733426183e-10+8.477588573124551e-10j)	(-6.547531651300899e-10+7.227830739841884e-10j)
15	(6.402483593048999e-10+1.941106109029931e-09j)	(3.4285375160071393e-10+2.1413158603372957e-09j)	(3.6042597250546887e-10+2.25288480447861e-09j)
16	(-6.84070356005399e-10+8.310391799064381e-10j)	(-6.135555533719786e-10+7.536577806931833e-10j)	(-4.742042145556985e-10+6.396788074570846e-10j)
