########## CURVA DE EXCITACAO - BOBINA GIRANTE ##########

### Dados de Configuração ###
arquivo                        	C:\Users\labimas\Desktop\Bobina Girante\Alterados\bobinona\Testes\Correntes\TESTE1_5A_X_BOB_+0005A_140801_195252.dat
data                           	01/08/2014
hora                           	19:52:52
temperatura_ima(C)             	0
ganho_integrador               	100
nr_pontos_integracao           	144
velocidade(rps)                	1.0
aceleracao(rps^2)              	0.5
nr_coletas                     	1
nr_voltas                      	18
intervalo_analise              	6-26
sentido_de_rotacao             	Horario
corrente_alim_principal_avg(A) 	+4.942645e+00
corrente_alim_principal_std(A) 	+1.081748e-02
corrente_alim_secundaria_avg(A)	+0.000000e+00
corrente_alim_secundaria_std(A)	+0.000000e+00

### Dados da Bobina Girante ###
nome_bobina_girante            	SBBG_0002
tipo_bobina_girante            	Bobina Radial
tipo_medicao                   	N_Bucked
pulso_start_coleta             	325875
n_espiras_bobina_principal     	10
raio_interno_bobina_princip(m) 	0
raio_externo_bobina_princip(m) 	0.01803
n_espiras_bobina_bucked        	0
raio_interno_bobina_bucked(m)  	0
raio_externo_bobina_bucked(m)  	0

### Observações ###
observacoes                    	



##### Dados de Leitura #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angulo(rad)  	std_angulo(rad)  	avg_L.Nn'(T/m^n-2)	std_L.Nn'(T/m^n-2)	avg_L.Sn'(T/m^n-2)	std_L.Sn'(T/m^n-2)
1   	  +3.043560e-06   	  +4.861641e-08   	  -1.302929e-05   	  +4.566176e-08   	  +1.338005e-05   	  +4.951427e-08   	  -1.341385e+00   	  +1.369782e-02   	  +3.043560e-06   	  +4.861641e-08   	  -1.302929e-05   	  +4.566176e-08   
2   	  -1.879430e-01   	  +2.357048e-06   	  +1.858354e-03   	  +2.528713e-06   	  +1.879522e-01   	  +2.355816e-06   	  -4.943770e-03   	  +2.774897e-05   	  -1.879430e-01   	  +2.357048e-06   	  +1.858354e-03   	  +2.528713e-06   
3   	  -8.140254e-03   	  +1.286083e-04   	  +9.521896e-03   	  +1.905308e-04   	  +1.252718e-02   	  +1.664225e-04   	  -2.874842e-01   	  +1.738034e-02   	  -8.140254e-03   	  +1.286083e-04   	  +9.521896e-03   	  +1.905308e-04   
4   	  +1.174134e-02   	  +6.652819e-03   	  -2.468368e-01   	  +9.850702e-03   	  +2.471159e-01   	  +9.675072e-03   	  -1.653733e-01   	  +3.276677e-01   	  +1.174134e-02   	  +6.652819e-03   	  -2.468368e-01   	  +9.850702e-03   
5   	  +2.267763e+00   	  +4.971247e-01   	  -4.359828e+00   	  +5.671357e-01   	  +4.914351e+00   	  +5.185236e-01   	  -1.353639e-01   	  +1.510504e-01   	  +2.267763e+00   	  +4.971247e-01   	  -4.359828e+00   	  +5.671357e-01   
6   	  +2.620233e+03   	  +3.022845e+01   	  -1.329194e+01   	  +2.575678e+01   	  +2.620266e+03   	  +3.012226e+01   	  -8.626157e-04   	  +6.817704e-03   	  +2.620233e+03   	  +3.022845e+01   	  -1.329194e+01   	  +2.575678e+01   
7   	  +8.633686e+03   	  +1.445076e+03   	  -1.734260e+01   	  +2.242966e+03   	  +8.633704e+03   	  +1.372812e+03   	  +7.932373e-04   	  +1.243549e-01   	  +8.633686e+03   	  +1.445076e+03   	  -1.734260e+01   	  +2.242966e+03   
8   	  -4.054098e+05   	  +1.540760e+05   	  +2.021191e+05   	  +1.550060e+05   	  +4.530003e+05   	  +9.406850e+04   	  +1.633139e-02   	  +1.123725e-01   	  -4.054098e+05   	  +1.540760e+05   	  +2.021191e+05   	  +1.550060e+05   
9   	  -1.547777e+07   	  +8.523756e+06   	  -1.222033e+07   	  +9.883791e+06   	  +1.972049e+07   	  +6.035071e+06   	  +3.662181e-02   	  +1.000019e-01   	  -1.547777e+07   	  +8.523756e+06   	  -1.222033e+07   	  +9.883791e+06   
10  	  -2.473173e+10   	  +6.684073e+08   	  +4.799567e+08   	  +6.815165e+08   	  +2.473638e+10   	  +6.677808e+08   	  -2.129613e-03   	  +1.132714e-02   	  -2.473173e+10   	  +6.684073e+08   	  +4.799567e+08   	  +6.815165e+08   
11  	  +5.880141e+10   	  +7.735160e+10   	  -1.111483e+11   	  +7.089299e+10   	  +1.257440e+11   	  +3.344929e+10   	  +1.677216e-02   	  +8.909669e-02   	  +5.880141e+10   	  +7.735160e+10   	  -1.111483e+11   	  +7.089299e+10   
12  	  +2.634512e+12   	  +7.878133e+12   	  -1.298056e+11   	  +8.330650e+12   	  +2.637708e+12   	  +5.081936e+12   	  -1.184511e-02   	  +7.997133e-02   	  +2.634512e+12   	  +7.878133e+12   	  -1.298056e+11   	  +8.330650e+12   
13  	  +4.267998e+14   	  +2.410291e+14   	  +1.307348e+14   	  +2.715741e+14   	  +4.463740e+14   	  +1.394166e+14   	  +1.689607e-02   	  +7.192604e-02   	  +4.267998e+14   	  +2.410291e+14   	  +1.307348e+14   	  +2.715741e+14   
14  	  +1.166563e+16   	  +2.206906e+16   	  +2.108398e+16   	  +1.816211e+16   	  +2.409608e+16   	  +1.446328e+16   	  +2.238473e-03   	  +5.873885e-02   	  +1.166563e+16   	  +2.206906e+16   	  +2.108398e+16   	  +1.816211e+16   
15  	  +3.938333e+17   	  +3.765107e+17   	  +6.678871e+16   	  +4.526441e+17   	  +3.994564e+17   	  +2.232062e+17   	  -8.255501e-03   	  +5.753812e-02   	  +3.938333e+17   	  +3.765107e+17   	  +6.678871e+16   	  +4.526441e+17   


##### Dados Brutos Armazenados(V.s) [1e-12] #####

##### Volta_1#####	##### Volta_2#####	##### Volta_3#####	##### Volta_4#####	##### Volta_5#####	##### Volta_6#####	##### Volta_7#####	##### Volta_8#####	##### Volta_9#####	#### Volta_10#####	#### Volta_11#####	#### Volta_12#####	#### Volta_13#####	#### Volta_14#####	#### Volta_15#####	#### Volta_16#####	#### Volta_17#####	#### Volta_18#####	
+1.0731130000e+06 	+1.1480950000e+06 	+1.1279700000e+06 	+1.1922520000e+06 	+9.8401700000e+05 	+1.0526470000e+06 	+1.1393900000e+06 	+1.0998400000e+06 	+1.1766790000e+06 	+1.1584730000e+06 	+1.2499930000e+06 	+1.1220840000e+06 	+1.0829640000e+06 	+1.1086390000e+06 	+1.1728700000e+06 	+1.1631140000e+06 	+1.0418170000e+06 	+1.1329380000e+06 	
+3.6013930000e+06 	+3.5919380000e+06 	+3.6940020000e+06 	+3.6106310000e+06 	+3.8532830000e+06 	+3.5252440000e+06 	+3.6175160000e+06 	+3.6948440000e+06 	+3.6154200000e+06 	+3.6665550000e+06 	+3.6098450000e+06 	+3.6224060000e+06 	+3.7308930000e+06 	+3.6223120000e+06 	+3.5421250000e+06 	+3.6896760000e+06 	+3.6006630000e+06 	+3.6013790000e+06 	
+5.5566480000e+06 	+5.6016300000e+06 	+5.5144970000e+06 	+5.5736540000e+06 	+5.5559140000e+06 	+5.6403540000e+06 	+5.6796350000e+06 	+5.5516630000e+06 	+5.6099040000e+06 	+5.6239880000e+06 	+5.5562740000e+06 	+5.6995220000e+06 	+5.5670600000e+06 	+5.5982140000e+06 	+5.5543750000e+06 	+5.6456900000e+06 	+5.6389280000e+06 	+5.5933390000e+06 	
+8.0310820000e+06 	+7.9401640000e+06 	+7.9958710000e+06 	+8.0083110000e+06 	+7.9624520000e+06 	+7.8758800000e+06 	+7.8409170000e+06 	+7.9187120000e+06 	+7.8423680000e+06 	+7.9095560000e+06 	+7.9317580000e+06 	+7.9131130000e+06 	+7.9990100000e+06 	+7.8568620000e+06 	+7.9341370000e+06 	+7.9318430000e+06 	+8.0328420000e+06 	+7.8776290000e+06 	
+1.0207229000e+07 	+1.0228859000e+07 	+1.0154376000e+07 	+1.0141270000e+07 	+1.0275786000e+07 	+1.0300956000e+07 	+1.0190064000e+07 	+1.0297630000e+07 	+1.0252730000e+07 	+1.0177141000e+07 	+1.0174567000e+07 	+1.0198747000e+07 	+1.0243787000e+07 	+1.0362234000e+07 	+1.0114306000e+07 	+1.0253256000e+07 	+1.0220026000e+07 	+1.0155115000e+07 	
+1.2283179000e+07 	+1.2431491000e+07 	+1.2293335000e+07 	+1.2375951000e+07 	+1.2291909000e+07 	+1.2396819000e+07 	+1.2359562000e+07 	+1.2296994000e+07 	+1.2303551000e+07 	+1.2435765000e+07 	+1.2312055000e+07 	+1.2332394000e+07 	+1.2418000000e+07 	+1.2359867000e+07 	+1.2353600000e+07 	+1.2227827000e+07 	+1.2411603000e+07 	+1.2304614000e+07 	
+1.4070811000e+07 	+1.4246944000e+07 	+1.4183600000e+07 	+1.4212771000e+07 	+1.4186655000e+07 	+1.4216732000e+07 	+1.4146099000e+07 	+1.4176629000e+07 	+1.4251690000e+07 	+1.4173521000e+07 	+1.4273823000e+07 	+1.4267733000e+07 	+1.4175096000e+07 	+1.4180333000e+07 	+1.4289580000e+07 	+1.4262021000e+07 	+1.4138882000e+07 	+1.4145441000e+07 	
+1.6373908000e+07 	+1.6164676000e+07 	+1.6218502000e+07 	+1.6101090000e+07 	+1.6168803000e+07 	+1.6232710000e+07 	+1.6198821000e+07 	+1.6145255000e+07 	+1.6134898000e+07 	+1.6175414000e+07 	+1.6220937000e+07 	+1.6056188000e+07 	+1.6068948000e+07 	+1.6246913000e+07 	+1.6154160000e+07 	+1.6089823000e+07 	+1.6232748000e+07 	+1.6236864000e+07 	
+1.8034108000e+07 	+1.8091490000e+07 	+1.8108732000e+07 	+1.8083590000e+07 	+1.8104384000e+07 	+1.8125394000e+07 	+1.8123628000e+07 	+1.8101710000e+07 	+1.8154984000e+07 	+1.8023506000e+07 	+1.8110458000e+07 	+1.8146786000e+07 	+1.8072414000e+07 	+1.8038586000e+07 	+1.8127260000e+07 	+1.8077616000e+07 	+1.8068598000e+07 	+1.8156170000e+07 	
+1.9581672000e+07 	+1.9541056000e+07 	+1.9526134000e+07 	+1.9591420000e+07 	+1.9518754000e+07 	+1.9544938000e+07 	+1.9583400000e+07 	+1.9599780000e+07 	+1.9566868000e+07 	+1.9564420000e+07 	+1.9594738000e+07 	+1.9548266000e+07 	+1.9560528000e+07 	+1.9549274000e+07 	+1.9625154000e+07 	+1.9521254000e+07 	+1.9523308000e+07 	+1.9589512000e+07 	
+2.1154324000e+07 	+2.1135128000e+07 	+2.1187196000e+07 	+2.1116754000e+07 	+2.1070056000e+07 	+2.1092048000e+07 	+2.1168276000e+07 	+2.1180024000e+07 	+2.1108268000e+07 	+2.1146146000e+07 	+2.1102434000e+07 	+2.1171504000e+07 	+2.1137122000e+07 	+2.1059420000e+07 	+2.1154456000e+07 	+2.1150316000e+07 	+2.1088786000e+07 	+2.1232960000e+07 	
+2.2508500000e+07 	+2.2427796000e+07 	+2.2590834000e+07 	+2.2514510000e+07 	+2.2439428000e+07 	+2.2446476000e+07 	+2.2543712000e+07 	+2.2400012000e+07 	+2.2567466000e+07 	+2.2442642000e+07 	+2.2445636000e+07 	+2.2475354000e+07 	+2.2478566000e+07 	+2.2436442000e+07 	+2.2429796000e+07 	+2.2474892000e+07 	+2.2443166000e+07 	+2.2479850000e+07 	
+2.3806502000e+07 	+2.3738864000e+07 	+2.3798456000e+07 	+2.3820996000e+07 	+2.3748800000e+07 	+2.3733024000e+07 	+2.3707864000e+07 	+2.3671554000e+07 	+2.3706154000e+07 	+2.3739764000e+07 	+2.3793224000e+07 	+2.3780718000e+07 	+2.3779174000e+07 	+2.3756840000e+07 	+2.3738586000e+07 	+2.3763168000e+07 	+2.3729230000e+07 	+2.3721564000e+07 	
+2.4705430000e+07 	+2.4690068000e+07 	+2.4607542000e+07 	+2.4798584000e+07 	+2.4762182000e+07 	+2.4735368000e+07 	+2.4746836000e+07 	+2.4775450000e+07 	+2.4740782000e+07 	+2.4756148000e+07 	+2.4709414000e+07 	+2.4725388000e+07 	+2.4798672000e+07 	+2.4784934000e+07 	+2.4729438000e+07 	+2.4778948000e+07 	+2.4744282000e+07 	+2.4731068000e+07 	
+2.5405884000e+07 	+2.5486594000e+07 	+2.5459610000e+07 	+2.5447014000e+07 	+2.5497874000e+07 	+2.5419186000e+07 	+2.5457124000e+07 	+2.5414184000e+07 	+2.5448740000e+07 	+2.5430562000e+07 	+2.5440656000e+07 	+2.5477292000e+07 	+2.5450294000e+07 	+2.5515400000e+07 	+2.5435022000e+07 	+2.5471428000e+07 	+2.5441008000e+07 	+2.5417028000e+07 	
+2.6339120000e+07 	+2.6304844000e+07 	+2.6251818000e+07 	+2.6317930000e+07 	+2.6324698000e+07 	+2.6293996000e+07 	+2.6245258000e+07 	+2.6271530000e+07 	+2.6281124000e+07 	+2.6305650000e+07 	+2.6263020000e+07 	+2.6255404000e+07 	+2.6281204000e+07 	+2.6318370000e+07 	+2.6232630000e+07 	+2.6314382000e+07 	+2.6309386000e+07 	+2.6240474000e+07 	
+2.6707118000e+07 	+2.6784702000e+07 	+2.6685318000e+07 	+2.6709664000e+07 	+2.6785318000e+07 	+2.6730452000e+07 	+2.6748874000e+07 	+2.6721866000e+07 	+2.6755072000e+07 	+2.6738246000e+07 	+2.6744818000e+07 	+2.6744406000e+07 	+2.6710822000e+07 	+2.6792910000e+07 	+2.6747716000e+07 	+2.6734330000e+07 	+2.6723080000e+07 	+2.6697520000e+07 	
