##### Volta_1#####	##### Volta_2#####	##### Volta_3#####	##### Volta_4#####	##### Volta_5#####	##### Volta_6#####	##### Volta_7#####	##### Volta_8#####	##### Volta_9#####	#### Volta_10#####	#### Volta_11#####	#### Volta_12#####	#### Volta_13#####	#### Volta_14#####	#### Volta_15#####	#### Volta_16#####	#### Volta_17#####	#### Volta_18#####	
+8.6144720000e+07 	+8.6905624000e+07 	+8.6318816000e+07 	+8.6296888000e+07 	+8.6534976000e+07 	+8.6646736000e+07 	+8.5905304000e+07 	+8.5373840000e+07 	+8.5951456000e+07 	+8.5373744000e+07 	+8.7685144000e+07 	+8.6252976000e+07 	+8.5667544000e+07 	+8.7103176000e+07 	+8.6807400000e+07 	+8.6269304000e+07 	+8.6538968000e+07 	+8.6038264000e+07 	
+8.2959256000e+07 	+8.4421776000e+07 	+8.4087168000e+07 	+8.4148816000e+07 	+8.3644544000e+07 	+8.3937920000e+07 	+8.4162168000e+07 	+8.3690624000e+07 	+8.4359080000e+07 	+8.4145048000e+07 	+8.3775832000e+07 	+8.4146624000e+07 	+8.3640704000e+07 	+8.3920312000e+07 	+8.3221680000e+07 	+8.3502144000e+07 	+8.4089376000e+07 	+8.3206952000e+07 	
+8.0200264000e+07 	+8.0082200000e+07 	+8.0110600000e+07 	+8.0084008000e+07 	+7.9038880000e+07 	+8.0246440000e+07 	+8.0010624000e+07 	+8.0443728000e+07 	+7.9544016000e+07 	+7.9455088000e+07 	+7.9977288000e+07 	+8.0129104000e+07 	+7.9892560000e+07 	+7.8986984000e+07 	+7.9895912000e+07 	+8.0696288000e+07 	+7.9218616000e+07 	+7.9548816000e+07 	
+7.7158416000e+07 	+7.7310024000e+07 	+7.6860384000e+07 	+7.6825624000e+07 	+7.7134432000e+07 	+7.7364048000e+07 	+7.5990944000e+07 	+7.6383464000e+07 	+7.6723280000e+07 	+7.6808648000e+07 	+7.7534232000e+07 	+7.6276232000e+07 	+7.6294512000e+07 	+7.7032976000e+07 	+7.7556232000e+07 	+7.7061384000e+07 	+7.6539808000e+07 	+7.5935288000e+07 	
+7.4564424000e+07 	+7.4628752000e+07 	+7.4834720000e+07 	+7.4649744000e+07 	+7.4381216000e+07 	+7.4429784000e+07 	+7.5221240000e+07 	+7.5252224000e+07 	+7.5006960000e+07 	+7.5375024000e+07 	+7.3767416000e+07 	+7.4702256000e+07 	+7.4856688000e+07 	+7.3831592000e+07 	+7.4254960000e+07 	+7.4636168000e+07 	+7.4186168000e+07 	+7.4002712000e+07 	
+7.3730656000e+07 	+7.2238944000e+07 	+7.2430360000e+07 	+7.2447104000e+07 	+7.2190320000e+07 	+7.2729200000e+07 	+7.1930440000e+07 	+7.3048816000e+07 	+7.2095904000e+07 	+7.2529640000e+07 	+7.2603592000e+07 	+7.2102784000e+07 	+7.2144712000e+07 	+7.1604016000e+07 	+7.3092096000e+07 	+7.3276648000e+07 	+7.1536440000e+07 	+7.2515584000e+07 	
+6.9732176000e+07 	+6.9094728000e+07 	+6.9188216000e+07 	+6.8860184000e+07 	+6.9955312000e+07 	+6.9411480000e+07 	+6.8985920000e+07 	+6.9184056000e+07 	+6.9382136000e+07 	+6.9840960000e+07 	+6.9098040000e+07 	+6.8619304000e+07 	+6.9277080000e+07 	+6.9437040000e+07 	+6.9628760000e+07 	+6.9013888000e+07 	+6.9081280000e+07 	+6.8921552000e+07 	
+6.4824920000e+07 	+6.4010232000e+07 	+6.4489060000e+07 	+6.4389856000e+07 	+6.4344196000e+07 	+6.3810840000e+07 	+6.5206552000e+07 	+6.5270556000e+07 	+6.4840356000e+07 	+6.5231152000e+07 	+6.3390280000e+07 	+6.4775000000e+07 	+6.4822540000e+07 	+6.3778948000e+07 	+6.4174848000e+07 	+6.4279564000e+07 	+6.4367788000e+07 	+6.4753732000e+07 	
+6.1703912000e+07 	+6.0321408000e+07 	+6.0500236000e+07 	+6.0925796000e+07 	+6.1249816000e+07 	+6.1059540000e+07 	+6.0383968000e+07 	+6.0823208000e+07 	+6.0465016000e+07 	+6.0672124000e+07 	+6.1174740000e+07 	+6.0556564000e+07 	+6.1314636000e+07 	+6.1281436000e+07 	+6.1406288000e+07 	+6.1398180000e+07 	+6.0989396000e+07 	+6.1784736000e+07 	
+5.8477204000e+07 	+5.8610964000e+07 	+5.8721688000e+07 	+5.8493320000e+07 	+5.9588140000e+07 	+5.8326904000e+07 	+5.9292040000e+07 	+5.8451788000e+07 	+5.9185652000e+07 	+5.9119920000e+07 	+5.8563812000e+07 	+5.8738048000e+07 	+5.8850588000e+07 	+5.9417452000e+07 	+5.8704180000e+07 	+5.7941940000e+07 	+5.9552532000e+07 	+5.9144988000e+07 	
+5.4889828000e+07 	+5.5012352000e+07 	+5.5050760000e+07 	+5.5431004000e+07 	+5.4919728000e+07 	+5.4635712000e+07 	+5.5677148000e+07 	+5.5418896000e+07 	+5.5611648000e+07 	+5.5301756000e+07 	+5.4963180000e+07 	+5.5897636000e+07 	+5.5315500000e+07 	+5.5236548000e+07 	+5.4578020000e+07 	+5.5073796000e+07 	+5.5657580000e+07 	+5.6063668000e+07 	
+4.9920096000e+07 	+5.0273532000e+07 	+5.0223856000e+07 	+5.0335672000e+07 	+5.0706112000e+07 	+5.0825840000e+07 	+5.0058000000e+07 	+4.9702720000e+07 	+4.9871620000e+07 	+4.9410928000e+07 	+5.1193544000e+07 	+5.0144352000e+07 	+5.0760280000e+07 	+5.1293400000e+07 	+5.0416084000e+07 	+5.0463940000e+07 	+5.0913996000e+07 	+5.0719364000e+07 	
+4.5130648000e+07 	+4.6551128000e+07 	+4.6394324000e+07 	+4.6340780000e+07 	+4.6120448000e+07 	+4.5735068000e+07 	+4.6540444000e+07 	+4.5700436000e+07 	+4.6746796000e+07 	+4.6227368000e+07 	+4.6119176000e+07 	+4.6944352000e+07 	+4.5953064000e+07 	+4.6600808000e+07 	+4.5875492000e+07 	+4.5545372000e+07 	+4.6957856000e+07 	+4.6106036000e+07 	
