##### Volta_1#####	##### Volta_2#####	##### Volta_3#####	##### Volta_4#####	##### Volta_5#####	##### Volta_6#####	##### Volta_7#####	##### Volta_8#####	##### Volta_9#####	#### Volta_10#####	#### Volta_11#####	#### Volta_12#####	#### Volta_13#####	#### Volta_14#####	#### Volta_15#####	
+2.9873824000e+07 	+2.9969068000e+07 	+2.9912496000e+07 	+2.9888844000e+07 	+2.9837218000e+07 	+2.9821454000e+07 	+3.0010310000e+07 	+2.9907766000e+07 	+2.9841894000e+07 	+3.0024968000e+07 	+2.9982084000e+07 	+2.9937680000e+07 	+2.9842154000e+07 	+2.9828042000e+07 	+2.9955826000e+07 	
+3.0102426000e+07 	+3.0156462000e+07 	+3.0134400000e+07 	+3.0043972000e+07 	+3.0055350000e+07 	+3.0181624000e+07 	+3.0020576000e+07 	+3.0011884000e+07 	+3.0170144000e+07 	+3.0086686000e+07 	+3.0015016000e+07 	+3.0001694000e+07 	+3.0073812000e+07 	+3.0137084000e+07 	+3.0158710000e+07 	
+3.0050504000e+07 	+3.0059984000e+07 	+3.0042114000e+07 	+3.0096294000e+07 	+3.0068776000e+07 	+2.9985918000e+07 	+3.0069278000e+07 	+3.0042588000e+07 	+3.0004460000e+07 	+3.0068432000e+07 	+3.0071268000e+07 	+3.0125754000e+07 	+3.0086270000e+07 	+2.9967548000e+07 	+3.0019966000e+07 	
+2.9909988000e+07 	+2.9954396000e+07 	+3.0167916000e+07 	+2.9995896000e+07 	+2.9905556000e+07 	+2.9968798000e+07 	+3.0052028000e+07 	+2.9983354000e+07 	+2.9882870000e+07 	+3.0089394000e+07 	+3.0022274000e+07 	+2.9888334000e+07 	+2.9821334000e+07 	+3.0017402000e+07 	+2.9993150000e+07 	
+2.9329246000e+07 	+2.9274998000e+07 	+2.9444840000e+07 	+2.9277764000e+07 	+2.9268360000e+07 	+2.9421114000e+07 	+2.9412460000e+07 	+2.9271868000e+07 	+2.9505164000e+07 	+2.9551386000e+07 	+2.9406014000e+07 	+2.9236474000e+07 	+2.9380146000e+07 	+2.9472180000e+07 	+2.9534022000e+07 	
+2.8763000000e+07 	+2.8873450000e+07 	+2.8596334000e+07 	+2.8336106000e+07 	+2.8831356000e+07 	+2.8870988000e+07 	+2.8546484000e+07 	+2.9024488000e+07 	+2.8841312000e+07 	+2.8523442000e+07 	+2.8453054000e+07 	+2.8921702000e+07 	+2.9125166000e+07 	+2.8880880000e+07 	+2.8757076000e+07 	
+2.8182718000e+07 	+2.7914290000e+07 	+2.7663838000e+07 	+2.8239310000e+07 	+2.8130876000e+07 	+2.7935472000e+07 	+2.7629016000e+07 	+2.7969006000e+07 	+2.7762386000e+07 	+2.7703334000e+07 	+2.8051126000e+07 	+2.8193890000e+07 	+2.7913638000e+07 	+2.7743356000e+07 	+2.7656618000e+07 	
+2.6865026000e+07 	+2.6482940000e+07 	+2.6945396000e+07 	+2.7162316000e+07 	+2.6569740000e+07 	+2.6143358000e+07 	+2.6690474000e+07 	+2.6747910000e+07 	+2.6416734000e+07 	+2.6432740000e+07 	+2.6900122000e+07 	+2.6606466000e+07 	+2.6356526000e+07 	+2.6598382000e+07 	+2.6891288000e+07 	
+2.5392296000e+07 	+2.5638498000e+07 	+2.5942172000e+07 	+2.5488392000e+07 	+2.5222788000e+07 	+2.5840302000e+07 	+2.6386222000e+07 	+2.5095166000e+07 	+2.5622326000e+07 	+2.6152852000e+07 	+2.5608760000e+07 	+2.5396120000e+07 	+2.5268738000e+07 	+2.5491504000e+07 	+2.5646994000e+07 	
+2.3879802000e+07 	+2.4363646000e+07 	+2.4489092000e+07 	+2.3882226000e+07 	+2.4329644000e+07 	+2.4345310000e+07 	+2.3805114000e+07 	+2.4161718000e+07 	+2.4933786000e+07 	+2.3964466000e+07 	+2.3714496000e+07 	+2.3524282000e+07 	+2.4416288000e+07 	+2.4503292000e+07 	+2.4102914000e+07 	
